max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,n_estimators,fit_quality,model_power,lift_opt_score,mae
5,0.05,1000,1.0,0.8,10,0.6514747735425623,0.14295355460484552,0.19609442325412527,403.7773831300839
5,0.05,2000,1.0,0.8,10,0.6508726314860025,0.14292975865354948,0.19421999417977978,403.7827252424167
5,0.05,2000,0.8,1.0,10,0.650194751272376,0.14667535296847875,0.19250527120756247,403.52493531690993
6,0.05,2000,0.8,0.8,10,0.6493693179545963,0.15219689834864297,0.19051889704386205,402.6858749146501
5,0.05,500,0.8,0.8,10,0.6468172921532898,0.14357273649394814,0.18199333353578961,403.5712562973118
5,0.05,2000,0.8,0.8,10,0.6461407200362487,0.1435506305346019,0.17999469600650253,403.57836456109317
5,0.05,1000,0.8,0.8,10,0.6460743944042386,0.14355998019130972,0.17980070225542794,403.57412111742525
3,0.01,2000,1.0,1.0,10,0.5472669408823707,0.039018831348551435,0.025480986272111615,409.49859328730327
3,0.01,1000,1.0,1.0,10,0.5472669408823707,0.039018831348551435,0.025480986272111615,409.49859328730327
3,0.01,500,1.0,1.0,10,0.5472669408823707,0.039018831348551435,0.025480986272111615,409.49859328730327
4,0.01,500,1.0,1.0,10,0.5456879346003956,0.042077576587590135,0.02471609418715037,409.2384831130914
4,0.01,2000,1.0,1.0,10,0.5456879346003956,0.042077576587590135,0.02471609418715037,409.2384831130914
4,0.01,1000,1.0,1.0,10,0.5456879346003956,0.042077576587590135,0.02471609418715037,409.2384831130914
3,0.01,500,0.8,1.0,10,0.5422613169297545,0.03821195940205856,0.02293282373243018,409.44494921632867
3,0.01,2000,0.8,1.0,10,0.5422613169297545,0.03821195940205856,0.02293282373243018,409.44494921632867
3,0.01,1000,0.8,1.0,10,0.5422613169297545,0.03821195940205856,0.02293282373243018,409.44494921632867
3,0.01,2000,1.0,0.8,10,0.5414904771779467,0.037253075844706905,0.022547138724742188,409.49573955874547
3,0.01,1000,1.0,0.8,10,0.5414904771779467,0.037253075844706905,0.022547138724742188,409.49573955874547
3,0.01,500,1.0,0.8,10,0.5414904771779467,0.037253075844706905,0.022547138724742188,409.49573955874547
4,0.01,1000,0.8,1.0,10,0.5409470913165528,0.04175192968240776,0.022374379747662442,409.1918001759719
4,0.01,2000,0.8,1.0,10,0.5409470913165528,0.04175192968240776,0.022374379747662442,409.1918001759719
4,0.01,500,0.8,1.0,10,0.5409470913165528,0.04175192968240776,0.022374379747662442,409.1918001759719
3,0.01,500,0.8,0.8,10,0.5288115385011435,0.03791290579200905,0.01726588658237721,409.4526478602235
3,0.01,1000,0.8,0.8,10,0.5288115385011435,0.03791290579200905,0.01726588658237721,409.4526478602235
3,0.01,2000,0.8,0.8,10,0.5288115385011435,0.03791290579200905,0.01726588658237721,409.4526478602235
5,0.01,1000,0.8,1.0,10,0.5245042144506046,0.044614847123768814,0.015846661059645745,408.91997643952783
5,0.01,500,1.0,1.0,10,0.5234078133623248,0.044986915604889044,0.015486399794840802,408.96903310363604
5,0.01,2000,0.8,1.0,10,0.5211082994855962,0.04461109494858726,0.014742060271628695,408.92095104536253
5,0.01,500,0.8,1.0,10,0.5208437468553804,0.04462016947012067,0.0146593280113291,408.918646464841
5,0.01,2000,1.0,1.0,10,0.5206360742880727,0.04496694200677179,0.01459888028983517,408.97241379347645
4,0.01,2000,1.0,0.8,10,0.520414591429643,0.040301513850789936,0.014472712854578464,409.2479322970076
4,0.01,1000,1.0,0.8,10,0.520414591429643,0.040301513850789936,0.014472712854578464,409.2479322970076
4,0.01,500,1.0,0.8,10,0.520414591429643,0.040301513850789936,0.014472712854578464,409.2479322970076
5,0.01,1000,1.0,1.0,10,0.516877545405815,0.04496859334553491,0.013474117714133711,408.97188084024276
4,0.01,500,0.8,0.8,10,0.5129667888440317,0.040548124116760315,0.012346172263456188,409.2070823496179
4,0.01,2000,0.8,0.8,10,0.5129667888440317,0.040548124116760315,0.012346172263456188,409.2070823496179
4,0.01,1000,0.8,0.8,10,0.5129667888440317,0.040548124116760315,0.012346172263456188,409.2070823496179
6,0.01,1000,1.0,1.0,10,0.5104212753352719,0.047867216721903146,0.011764623885575027,408.6889719890803
6,0.01,500,1.0,1.0,10,0.509343640476709,0.047891675781659,0.011496157144178681,408.68449538813417
6,0.01,2000,1.0,1.0,10,0.5087197071994912,0.04781914205755608,0.011342616171258627,408.68999779443743
6,0.01,500,0.8,1.0,10,0.49828557064034384,0.04738649744614103,0.009058542292456444,408.626304974702
6,0.01,1000,0.8,1.0,10,0.4977772604412507,0.04737897289663139,0.008959684574581326,408.6277036488738
